cell_id,x,y,z,phi0
207,0.585108,0.505498,0.0599203,0.102193
208,0.879704,0.0612547,0.853748,0.0554345
209,0.0244015,0.388715,0.0235365,0.0418303
210,0.175798,0.270062,0.0705742,0.0881228
211,0.135832,0.239702,0.151802,0.0860694
212,0.34532,0.875087,0.0599203,0.032596
213,0.389188,0.972398,0.148899,0.0275616
214,0.976276,0.611143,0.0234511,0.0323071
215,0.349722,0.917193,0.179427,0.0332351
216,0.700489,0.250356,0.22638,0.231352
217,0.280135,0.832586,0.0599203,0.0304749
218,0.973065,0.394551,0.734122,0.0506061
219,0.860298,0.218395,0.322265,0.079805
220,0.319001,0.879152,0.0299602,0.0299168
221,0.129956,0.751295,0.662999,0.0389273
222,0.973065,0.873371,0.554808,0.0217624
223,0.269049,0.792143,0.0299602,0.0325809
224,0.625912,0.623243,0.130495,0.0784185
225,0.253768,0.851281,0.0898805,0.0260895
226,0.487411,0.143817,0.141148,0.768147
227,0.421519,0.211893,0.0599203,0.319421
228,0.199755,0.75109,0.705806,0.0417756
229,0.796374,0.45278,0.876268,0.0795518
230,0.193565,0.948908,0.055381,0.0186513
231,0.0938836,0.870537,0.152097,0.0220049
232,0.218809,0.925371,0.0299602,0.0210713
233,0.462052,0.748837,0.0299602,0.0400944
234,0.849644,0.335588,0.801691,0.0827204
235,0.0231172,0.759144,0.0467176,0.0257156
236,0.751896,0.948219,0.0530773,0.0236936
237,0.0224111,0.973922,0.829398,0.0160362
238,0.919195,0.320006,0.826279,0.0574726
239,0.749568,0.091882,0.153811,0.132952
240,0.178096,0.0612547,0.717851,0.0622532
241,0.439373,0.917193,0.180604,0.0338469
242,0.554754,0.972398,0.922722,0.0216503
243,0.455449,0.197087,0.17311,0.404146
244,0.508269,0.421678,0.915191,0.145524
245,0.232461,0.829973,0.0898805,0.0280314
246,0.0312945,0.56072,0.27575,0.0452875
247,0.860298,0.815013,0.17311,0.0250447
248,0.189102,0.335588,0.822998,0.0982507
249,0.78572,0.783052,0.162456,0.0345507
250,0.698261,0.0306273,0.292634,0.158876
251,0.700489,0.676512,0.545997,0.0620768
252,0.78572,0.761744,0.183764,0.0362257
253,0.837858,0.585039,0.915191,0.0454522
254,0.870952,0.165125,0.695152,0.0671446
255,0.253025,0.356895,0.865614,0.114929
256,0.668527,0.239702,0.812345,0.214287
257,0.420465,0.944795,0.678973,0.0298562
258,0.973065,0.151797,0.79914,0.0367353
259,0.952046,0.485551,0.547045,0.0491216
260,0.450128,0.972398,0.264849,0.0229135
261,0.923395,0.697287,0.0842268,0.0300085
262,0.0236295,0.974694,0.500084,0.0172459
263,0.860298,0.388857,0.66319,0.0813881
264,0.0516293,0.887353,0.0733354,0.0192081
265,0.767656,0.697934,0.0898805,0.0367647
266,0.476757,0.410165,0.85496,0.138121
267,0.743105,0.612589,0.162456,0.0465613
268,0.973065,0.732022,0.78705,0.0306039
269,0.391526,0.26101,0.812345,0.268014
270,0.919195,0.777563,0.827712,0.0269382
271,0.0938836,0.320006,0.847586,0.05843
272,0.135832,0.282318,0.620574,0.117417
273,0.062589,0.871075,0.58753,0.0231831
274,0.769581,0.589031,0.915191,0.0504406
275,0.775066,0.665859,0.194418,0.0447957
276,0.743105,0.527358,0.865614,0.0610794
277,0.921838,0.922192,0.693168,0.0179299
278,0.888872,0.952063,0.925318,0.015921
279,0.94613,0.331905,0.784621,0.0521697
280,0.062589,0.869471,0.517052,0.0240137
281,0.74618,0.972398,0.299511,0.0242729
282,0.775066,0.580627,0.151802,0.0592152
283,0.809087,0.0558283,0.945653,0.0613988
284,0.338256,0.655205,0.141148,0.0538182
285,0.253428,0.164243,0.0898805,0.124209
286,0.0861255,0.362276,0.92005,0.0519196
287,0.218346,0.972398,0.918217,0.0207122
288,0.746349,0.676626,0.0898805,0.0384773
289,0.700489,0.825667,0.183764,0.0368199
290,0.062589,0.672049,0.236435,0.0381477
291,0.775066,0.601935,0.17311,0.0486695
292,0.94613,0.418781,0.129008,0.0472074
293,0.423487,0.740436,0.60992,0.0495899
294,0.151623,0.972398,0.513211,0.0218614
295,0.498065,0.836321,0.492727,0.0321183
296,0.597838,0.664935,0.0599203,0.0613939
297,0.269125,0.917193,0.683222,0.0261345
298,0.135832,0.793705,0.343573,0.0323661
299,0.0312945,0.150925,0.860046,0.0305696
300,0.719351,0.0231172,0.977396,0.0816872
301,0.1368,0.763064,0.589764,0.0395233
302,0.792264,0.684299,0.0599203,0.0350619
303,0.64722,0.815013,0.791037,0.0393451
304,0.870952,0.655205,0.844306,0.0414251
305,0.764413,0.868283,0.716459,0.0324958
306,0.178448,0.836321,0.17311,0.0255348
307,0.977098,0.973922,0.830816,0.0142305
308,0.870952,0.527358,0.844306,0.0615287
309,0.596393,0.091882,0.843866,0.707283
310,0.404245,0.091882,0.864917,0.633666
311,0.790865,0.241347,0.943461,0.1002
312,0.94613,0.179395,0.479225,0.0627695
313,0.776979,0.184806,0.0898805,0.107539
314,0.774649,0.804923,0.943461,0.0310046
315,0.800752,0.972398,0.827085,0.0233408
316,0.240002,0.607406,0.628438,0.0638748
317,0.854688,0.342999,0.943461,0.0709745
318,0.849644,0.527358,0.822998,0.0694236
319,0.479949,0.0306273,0.644873,1.76575
320,0.684048,0.0537445,0.949127,0.148785
321,0.189102,0.31428,0.290303,0.122315
322,0.15714,0.793705,0.47142,0.0354184
323,0.860298,0.495396,0.85496,0.0622753
324,0.404479,0.270419,0.915191,0.237144
325,0.83899,0.495396,0.833652,0.0727704
326,0.687247,0.212245,0.943461,0.178709
327,0.15714,0.75109,0.130495,0.0406655
328,0.775066,0.388857,0.556651,0.100836
329,0.637334,0.944795,0.853532,0.0259222
330,0.668527,0.388857,0.85496,0.128307
331,0.59395,0.761744,0.141148,0.0478553
332,0.619735,0.351342,0.704847,0.237669
333,0.785435,0.669665,0.915191,0.0397853
334,0.83899,0.26101,0.791037,0.0919666
335,0.0553508,0.0546836,0.245712,0.0345383
336,0.615258,0.719128,0.652536,0.0726842
337,0.500169,0.974694,0.974694,0.0202885
338,0.870952,0.31428,0.737767,0.0757584
339,0.50978,0.161299,0.915191,0.554158
340,0.94613,0.790952,0.682921,0.0282784
341,0.199755,0.367549,0.17311,0.0809784
342,0.596517,0.597221,0.915191,0.0815476
343,0.689835,0.367549,0.812345,0.142366
344,0.0938836,0.506226,0.68296,0.0473267
345,0.062589,0.460832,0.847712,0.0497689
346,0.146486,0.69782,0.844306,0.0352894
347,0.64722,0.282318,0.85496,0.193798
348,0.788546,0.944795,0.75883,0.0279634
349,0.062589,0.294452,0.741565,0.0665582
350,0.444795,0.335588,0.865614,0.182503
