cell_id,x,y,z,phi0
381,0.15714,0.410165,0.876268,0.0715985
382,0.135832,0.793705,0.215726,0.0327427
383,0.764413,0.378203,0.354227,0.121027
384,0.409168,0.0306273,0.594172,0.562728
385,0.919195,0.16274,0.34352,0.0556387
386,0.32791,0.358402,0.915191,0.12804
387,0.117789,0.115584,0.0299602,0.0399358
388,0.554754,0.0306273,0.922722,1.5342
389,0.638899,0.4743,0.155173,0.114413
390,0.681515,0.516916,0.240404,0.0915578
391,0.253025,0.143817,0.41815,0.167734
392,0.732451,0.388857,0.599266,0.117472
393,0.94613,0.368773,0.677138,0.0579105
394,0.146486,0.868283,0.844306,0.0222501
395,0.714361,0.835708,0.943461,0.0326207
396,0.54068,0.559319,0.833652,0.100656
397,0.328414,0.917193,0.222043,0.0325465
398,0.973065,0.293321,0.696893,0.0525446
399,0.743105,0.69782,0.695152,0.0463338
400,0.94613,0.871075,0.58753,0.0232584
401,0.979665,0.889226,0.956763,0.0196171
402,0.855419,0.570791,0.47403,0.0523797
403,0.949528,0.294376,0.948194,0.0472567
404,0.276863,0.0306273,0.830062,0.0836671
405,0.346872,0.33268,0.617728,0.225181
406,0.881606,0.431473,0.727113,0.0661553
407,0.561988,0.793705,0.876268,0.0433707
408,0.860298,0.239702,0.812345,0.0888833
409,0.495876,0.917193,0.311199,0.0251082
410,0.949575,0.190993,0.948241,0.0406606
411,0.700112,0.347487,0.915191,0.137633
412,0.13177,0.489136,0.943461,0.0511998
413,0.94613,0.765894,0.590132,0.0306467
414,0.732451,0.729782,0.876268,0.0400654
415,0.973065,0.313069,0.554389,0.0511318
416,0.701995,0.239937,0.915191,0.171733
417,0.80215,0.560137,0.591223,0.0695134
418,0.753759,0.388857,0.769729,0.112826
419,0.858361,0.833772,0.943461,0.023659
420,0.182051,0.479995,0.915191,0.061952
421,0.351924,0.13213,0.943461,0.228202
422,0.929794,0.600999,0.927181,0.0377621
423,0.831659,0.777566,0.915191,0.0255705
